symbol,companyName,industry,cik,sector,country,mktCap,price,revenue,inventory,daysOfSalesOutstanding,daysOfInventoryOutstanding,daysOfPayablesOutstanding,priceEarningsRatio,grossProfitMargin,operatingProfitMargin,returnOnEquity,enterpriseValue,roic,capexToDepreciation,investedCapital,revenuePerShare,bookValuePerShare,ebitda,eps
META,"Meta Platforms, Inc.",Internet Content & Information,1326801,Communication Services,US,1554431016290,615.86,40589000000,0,32.59503806450020,0.0,93.42915254237290,23.070193141254500,0.8183005247727220,0.4274557146024790,0.09535097156124450,1452895760000.0000,0.07817307396134330,2.0506580581077700,205365000000,16.049426650850100,65.05693950177940,22057000000,6.2
GOOGL,Alphabet Inc.,Internet Content & Information,1652044,Communication Services,US,2358652098863,192.04,88268000000,0,50.06752163864590,0.0,17.393485770686000,19.37470533439790,0.5867811664476370,0.3231182308424340,0.08372941464858860,2045259500000.0,0.07279700800158530,3.2775407779171900,283504000000,7.182099267697320,25.558909682668800,35745000000,2.14
LRCX,Lam Research Corporation,Semiconductors,707549,Technology,US,96050662000,74.65,4167976000,0,63.423956855797600,174.98279447631300,29.271895304700100,23.742939627961600,0.48049292990170800,0.30331196724741200,0.13178214875521900,104946947960.0,0.08104367486346880,1.172787528500980,12122313000,3.2080207137117500,6.520671379179760,1433519000,0.86
NVDA,NVIDIA Corporation,Semiconductors,1045810,Technology,US,3328435900000,135.91,35082000000,-977000000,45.38994356080040,77.17454626932560,53.973784449921600,44.634330623025500,0.7455675275069840,0.6233681090017670,0.2930089986190990,3448495160000.0000,0.2544644588901690,1.700836820083680,63821000000,1.429992255329560,2.6861370399054300,22855000000,0.79
KLIC,"Kulicke and Soffa Industries, Inc.",Semiconductors,56978,Technology,SG,2489392773,46.21,181319000,0,96.24920719836310,170.7868719437980,56.54619803121860,50.21984319551040,0.4834407866798300,0.014830216359013700,0.012835682710652100,2247871360.0,0.0033953437751953800,0.5100227319694150,1026892000,3.3350316362566200,17.363320335491500,14951000,0.22
PLAB,"Photronics, Inc.",Semiconductors,810136,Technology,US,1490281962,23.53,222628000,5788000,81.18790089296940,36.25436483616720,50.48622493336940,10.411263987717400,0.3696839570943460,0.25076809745404900,0.022872729458338600,829988400.0,0.02734539382907840,2.038929784824460,1492508000,3.59872621760988,23.936100738729100,76062000,0.55
AMAT,"Applied Materials, Inc.",Semiconductors,6951,Technology,US,139669030250,171.65,7045000000,0,66.86444286728180,131.61316428378700,38.117075802535700,22.00310225303290,0.4738112136266860,0.29041873669269000,0.0911004683964002,150586480000.0,0.07398780388445650,3.7,20072000000,8.570559610705600,23.11557177615570,2159000000,2.11
VRT,Vertiv Holdings Co,Electrical Equipment & Parts,1674101,Industrials,US,48392070480,128.93,2073500000,-140700000,101.06824210272500,85.77025282818310,84.71110773669430,52.84397322248020,0.3647938268627920,0.17921388955871700,0.09737001709213210,39547582684.36,0.05151475794868230,0.5689404934687950,5017000000,5.526336379009650,4.833911883583220,373300000,0.47
AMZN,"Amazon.com, Inc.",Specialty Retail,1018724,Consumer Cyclical,US,2302154100000,218.94,158877000000,-1509000000,29.25168526596050,40.12583820097070,93.99335613816270,31.913024040970800,0.4903164082906900,0.1095879202150090,0.05914698380480880,2016252330000.0000,0.04712415136207230,1.6827852998065800,351840000000,15.129701933149200,24.67869726692700,32082000000,1.46
GFS,GLOBALFOUNDRIES Inc.,Semiconductors,1709048,Technology,US,22753495040,40.96,1739000000,0,65.52041403105230,122.4,136.05283018867900,31.38135593220340,0.2380678550891320,0.10638297872340400,0.015347264371802700,22338000000.0,0.012115058101140300,0.27525252525252500,13869000000,3.1503623188405800,21.420289855072500,582000000,0.32
QCOM,QUALCOMM Incorporated,Semiconductors,804328,Technology,US,174404780000,156.98,10244000000,-384000000,34.51874267864120,129.40899932840800,52.06178643384820,16.233369006849300,0.5639398672393600,0.2520499804763760,0.11113648473776400,196390750000.0,0.0708731705538513,0.5831435079726650,31435000000,9.18744394618834,23.564125560538100,3215000000,2.62
KLAC,KLA Corporation,Semiconductors,319201,Technology,US,91366104917,683.06,2841541000,-59326000,64.12389263431360,243.92345160624000,29.53157967668640,27.455357910495400,0.5961941073523130,0.39412522993685500,0.2657098294975380,108723603940.0,0.0963597493820607,0.6302557841019380,9176269000,21.184345505241000,26.53849135938690,1257628000,7.05
AAPL,Apple Inc.,Consumer Electronics,320193,Technology,US,3580177230000,236.85,94930000000,-1087000000,62.802802064679200,12.844802256567000,121.57254510195700,58.63239010077360,0.4622247972190040,0.31171389444854100,0.2587532923617210,3532713602100.0,0.09002710785359110,0.9989694263139810,22275000000,6.2569247672849800,3.753627572915620,32502000000,0.97
ONTO,Onto Innovation Inc.,Semiconductors,704532,Technology,US,9365084393,189.61,252210000,0,90.53740930177230,239.55037943210400,37.2848373924079,50.16341642947350,0.5407358946909320,0.21042781808810100,0.02786987299877860,10472537620.0,0.02424174219111980,0.4731644230203990,1892220000,5.102779913405900,38.51262493424510,70083000,1.07
HPQ,HP Inc.,Computer Hardware,47217,Technology,US,31134893600,33.2,14055000000,101000000,32.76627534685170,62.85507508594170,137.6216754116160,9.399470198675500,0.2135183208822480,0.07050871575951620,0.3061845217979050,41724680000.0,0.08248215764768310,0.7355769230769230,3614000000,14.655891553701800,-1.3795620437956200,1217000000,0.94
AMKR,"Amkor Technology, Inc.",Semiconductors,1047127,Technology,US,6308820980,25.58,1861589000,0,65.35466743733450,19.794897127628400,45.98509223745440,15.383759351875300,0.14637172866835800,0.08023629275849830,0.029438078057536900,7832750000.0,0.024532641640385000,1.2983346171213000,5344075000,7.552697987666340,17.02878123985720,308093000,0.5
SWKS,"Skyworks Solutions, Inc.",Semiconductors,4127,Technology,US,14424874200,90.2,1024900000,38900000,44.67948092496830,118.68929591665300,25.98218786758530,65.2736776859504,0.4193579851692850,0.05805444433603280,0.009547556299020000,15628030000.0,0.00840806913033973,0.7168831168831170,7095800000,6.413642052565710,39.653942428035000,180700000,0.38
MTSI,"MACOM Technology Solutions Holdings, Inc.",Semiconductors,1493594,Technology,US,9620458848,132.88,200710000,-5122000,47.396741567435600,192.63216974072300,42.78932077298940,68.42704018494590,0.547267201434906,0.1371830003487620,0.02611460274534490,8391829840.0,0.015818894447633500,0.2909702748177230,1379200000,2.780224955673760,15.60204731826240,51618000,0.41
ON,ON Semiconductor Corporation,Semiconductors,1097864,Technology,US,22967490180,53.94,1761900000,-16800000,54.68755315852210,209.71636363636400,55.87012987012990,19.768813791386600,0.45371473976956700,0.2527952778250750,0.04679582017916850,32660730000.0,0.033078492078137800,1.0642768850432600,10701900000,4.1262295081967200,20.149882903981300,632100000,0.94
